rank,pmid,title,journal,pub_date,doi,pmcid,matched_top_journal,disease_axis,imaging_axis,design_axis,score,download_status,pdf_path,selection_reason
1,40549400,Complete AI-Enabled Echocardiography Interpretation With Multitask Deep Learning.,JAMA,2025 Jul 22,10.1001/jama.2025.8731,PMC12186137,JAMA,心衰/心肌病、瓣膜/结构心、血管/卒中,Echo/Ultrasound、AI/radiomics,前瞻性、外部验证、临床结局、读片/临床对照、AI方法、真实世界/队列、判别性能,51.07,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高；可借鉴AI影像研究写法
2,41214345,Endotyping-informed therapy for patients with chest pain and no obstructive coronary artery disease: a randomized trial.,Nature medicine,2026 Jan,10.1038/s41591-025-04044-4,PMC12823439,Nature Medicine,冠心病/冠脉、血管/卒中,CMR/MRI、OCT/angiography,随机/试验设计、前瞻性、多中心/跨地区、临床结局,51.02,PMC开放全文PDF已下载,G:\每日文献阅读精读\pdfs\2026-06-03_02_Endotyping-informed_therapy_for_patients_with_chest_pain_and_no_obstructive_coronary_arter.pdf,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
3,41183181,Randomized Controlled Trial of Mechanical Thrombectomy With Anticoagulation Versus Anticoagulation Alone for Acute Intermediate-High Risk Pulmonary Embolism: Primary Outcomes From the STORM-PE Trial.,Circulation,2026 Jan 06,10.1161/CIRCULATIONAHA.125.077232,,Circulation,心衰/心肌病、血管/卒中,CT/CCTA,随机/试验设计、前瞻性、多中心/跨地区、临床结局,49.77,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
4,40886174,Computed Tomography Angiography or Standard Care After Left Main PCI?,Journal of the American College of Cardiology,2025 Nov 11,10.1016/j.jacc.2025.07.060,,Journal of the American College of Cardiology (JACC),冠心病/冠脉、血管/卒中,CT/CCTA,随机/试验设计、前瞻性、多中心/跨地区、临床结局,48.98,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
5,41532943,Echocardiographic Diastolic Function Grading in HFpEF: Testing the Updated 2025 ASE Criteria.,Journal of the American College of Cardiology,2026 Mar 17,10.1016/j.jacc.2025.11.024,,Journal of the American College of Cardiology (JACC),心衰/心肌病,Echo/Ultrasound,前瞻性、外部验证、独立验证、临床结局、真实世界/队列、判别性能,48.18,未发现PMCID开放全文；需用户/图书馆下载,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
6,40042839,Effects of Combining Coronary Calcium Score With Treatment on Plaque Progression in Familial Coronary Artery Disease: A Randomized Clinical Trial.,JAMA,2025 Apr 22,10.1001/jama.2025.0584,PMC11883595,JAMA,冠心病/冠脉,CT/CCTA,随机/试验设计、前瞻性、临床结局、真实世界/队列,47.57,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
7,40452225,Cardiac transthyretin amyloidosis treatment improves outcomes after aortic valve replacement for severe stenosis.,European heart journal,2025 Nov 21,10.1093/eurheartj/ehaf362,PMC12634099,European Heart Journal,心衰/心肌病、瓣膜/结构心、血管/卒中,Echo/Ultrasound,随机/试验设计、多中心/跨地区、临床结局、真实世界/队列,46.9,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
8,41653933,"Recombinant factor VIIa versus placebo for spontaneous intracerebral haemorrhage within 2 h of symptom onset (FASTEST): a multicentre, double-blind, randomised, placebo-controlled, phase 3 trial.","Lancet (London, England)",2026 Feb 21,10.1016/S0140-6736(26)00097-8,PMC13005960,The Lancet,冠心病/冠脉、心衰/心肌病、血管/卒中,OCT/angiography,随机/试验设计、前瞻性、临床结局,46.43,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
9,39300290,Echocardiographic screening for heart failure and optimization of the care pathway for individuals with pacemakers: a randomized controlled trial.,Nature medicine,2024 Nov,10.1038/s41591-024-03265-3,PMC11564098,Nature Medicine,心衰/心肌病,Echo/Ultrasound,随机/试验设计、多中心/跨地区、临床结局,45.62,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；具备顶刊偏好的验证/泛化线索；连接临床结局而非只报模型指标；设计层级较高
10,41150941,Stratified treatment of myocardial infarction with non-obstructive coronary arteries: the PROMISE trial.,European heart journal,2026 Mar 24,10.1093/eurheartj/ehaf917,PMC13008472,European Heart Journal,冠心病/冠脉、心衰/心肌病、血管/卒中,OCT/angiography,随机/试验设计、前瞻性、临床结局,45.6,有PMCID但PMC页面未找到可直接保存的PDF；需人工打开核查,,影像与心血管问题直接耦合；连接临床结局而非只报模型指标；设计层级较高
